CAMPUS	CAD_GAP	CAD_MATH	CAD_POST	CAD_PROGRESS	CAD_READ	CAD_SCIE	CAD_SOCI	CAMPNAME	CFLAEATYPE	CFLAEC	CFLALTED	CFLCHART	CFLDAEP	CFLEEK	CFLJJ	CFLNEWCAMP	CFLPAIR	CFLPAIRD	CFLPAIRO	CFLRTF	CI1	CI1_CUT	CI1_MAXPTS	CI1_MET	CI1_TOTPTS	CI2	CI2_CUT	CI2_MAXPTS	CI2_MET	CI2_TOTPTS	CI3	CI3_CUT	CI3_MAXPTS	CI3_MET	CI3_TOTPTS	CI4	CI4_CUT	CI4_GRD_WGT	CI4_MET	CI4_PSG_WGT	CI4_RHS_WGT	CI4_STR_WGT	CNTYNAME	COUNTY	CPEMALLC	CPEMALLP	CPEMALLT	CPETALLC	CPETECHC	CPETECHP	CPETECOC	CPETECOP	CPETLEPC	CPETLEPP	CPETSPEC	CPETSPEP	C_RATING	C_UPDATE	C_YRS_IR	DISTNAME	DISTRICT	GRDHIGH	GRDLOW	GRDSPAN	GRDTYPE	PAIRCAMP	PAIRNAME	REGION	REGNNAME
001906002	0	1	0	1	1	1	0	NECHES H S	 	N	N	N	N	N	N	N	N	N	N	N	81	60	176	Y	142	41	17	400	Y	165	49	30	800	Y	390	79	60	24.2	Y	17.2	20.7	16.9	ANDERSON	001	13	10.7	122	108	0	0	47	43.5	1	0.9	20	18.5	M	 	.	NECHES ISD	001906	12	09	09 - 12	S	 	 	07	REGION 07: KILGORE
001906102	0	1	1	1	1	1	0	NECHES EL	 	N	N	N	N	N	N	N	N	N	N	N	84	60	448	Y	375	44	32	600	Y	265	43	28	1000	Y	429	53	12	.	Y	.	.	52.5	ANDERSON	001	43	16.8	256	269	0	0	125	46.5	5	1.9	17	6.3	M	 	.	NECHES ISD	001906	08	PK	PK - 08	E	 	 	07	REGION 07: KILGORE
001907001	1	1	1	1	0	1	0	PALESTINE H S	 	N	N	N	N	N	N	N	N	N	N	N	71	60	1520	Y	1072	29	17	1200	Y	350	43	30	2400	Y	1033	83	60	24.2	Y	24.1	22.8	12	ANDERSON	001	147	14.6	1004	972	.	.	625	64.3	35	3.6	86	8.8	M	 	.	PALESTINE ISD	001907	12	09	09 - 12	S	 	 	07	REGION 07: KILGORE
001907041	0	0	0	0	0	0	0	PALESTINE J H	 	N	N	N	N	N	N	N	N	N	N	N	66	60	1615	Y	1072	39	30	1400	Y	548	33	26	3000	Y	991	33	13	.	Y	.	.	32.5	ANDERSON	001	74	14.2	522	493	.	.	363	73.6	69	14	50	10.1	M	 	.	PALESTINE ISD	001907	08	07	07 - 08	M	 	 	07	REGION 07: KILGORE
001907101	 	 	 	 	 	 	 	NORTHSIDE PRI	 	N	N	N	N	N	N	N	Y	N	N	N	.	.	0	P	0	.	.	0	P	.	.	.	0	P	.	.	.	.	P	.	.	.	ANDERSON	001	36	12.5	287	520	.	.	384	73.8	123	23.7	40	7.7	M	 	.	PALESTINE ISD	001907	01	PK	PK - 01	E	001907107	SOUTHSIDE EL	07	REGION 07: KILGORE
001907102	 	 	 	 	 	 	 	WASHINGTON EARLY CHILDHOOD CENTER	 	N	N	N	N	Y	N	N	Y	N	N	N	.	.	.	P	.	.	.	0	P	.	.	.	0	P	.	.	.	.	P	.	.	.	ANDERSON	001	.	.	.	191	.	.	190	99.5	31	16.2	13	6.8	M	 	.	PALESTINE ISD	001907	PK	EE	EE - PK	E	001907107	SOUTHSIDE EL	07	REGION 07: KILGORE
001907107	0	0	0	 	0	 	 	SOUTHSIDE EL	 	N	N	N	N	N	N	N	N	N	Y	N	68	60	468	Y	320	.	32	0	Z	.	40	28	1200	Y	478	27	12	.	Y	.	.	27	ANDERSON	001	92	15.2	607	517	.	.	407	78.7	132	25.5	33	6.4	M	 	.	PALESTINE ISD	001907	03	02	02 - 03	E	 	 	07	REGION 07: KILGORE
001907110	0	0	0	0	0	0	 	STORY INT	 	N	N	N	N	N	N	N	N	N	N	N	64	60	1939	Y	1242	37	32	1400	Y	522	33	28	2400	Y	792	28	12	.	Y	.	.	28	ANDERSON	001	108	13.6	794	760	.	.	618	81.3	167	22	81	10.7	M	 	.	PALESTINE ISD	001907	06	04	04 - 06	E	 	 	07	REGION 07: KILGORE
001908002	1	1	0	1	0	1	1	WESTWOOD H S	 	N	N	N	N	N	N	N	N	N	N	N	75	60	621	Y	468	33	17	800	Y	263	44	30	800	Y	349	79	60	23.6	Y	20.1	22.8	12	ANDERSON	001	76	15.9	477	437	.	.	263	60.2	13	3	48	11	M	 	.	WESTWOOD ISD	001908	12	09	09 - 12	S	 	 	07	REGION 07: KILGORE
001908041	0	0	0	0	0	0	0	WESTWOOD J H	 	N	N	N	N	N	N	N	N	N	N	N	62	60	765	Y	471	34	30	1000	Y	344	30	26	2400	Y	719	24	13	.	Y	.	.	24.3	ANDERSON	001	37	14.5	256	231	.	.	149	64.5	9	3.9	23	10	M	 	.	WESTWOOD ISD	001908	08	07	07 - 08	M	 	 	07	REGION 07: KILGORE
001908101	0	0	0	0	0	0	 	WESTWOOD EL	 	N	N	N	N	N	N	N	N	N	Y	N	62	60	1100	Y	682	38	32	1400	Y	529	31	28	1800	Y	554	24	12	.	Y	.	.	23.8	ANDERSON	001	101	19.2	527	471	.	.	310	65.8	32	6.8	62	13.2	M	 	.	WESTWOOD ISD	001908	06	03	03 - 06	E	 	 	07	REGION 07: KILGORE
001908102	 	 	 	 	 	 	 	WESTWOOD PRI	 	N	N	N	N	N	N	N	Y	N	N	N	.	.	.	P	.	.	.	0	P	.	.	.	0	P	.	.	.	.	P	.	.	.	ANDERSON	001	50	16	312	461	.	.	314	68.1	37	8	36	7.8	M	 	.	WESTWOOD ISD	001908	02	EE	EE - 02	E	001908101	WESTWOOD EL	07	REGION 07: KILGORE
001909001	0	1	1	1	1	1	1	SLOCUM H S	 	N	N	N	N	N	N	N	N	N	N	N	86	60	151	Y	130	41	17	400	Y	162	49	30	800	Y	388	85	60	25	Y	25	18.9	16.5	ANDERSON	001	8	7.5	107	107	0	0	45	42.1	1	0.9	13	12.1	M	 	.	SLOCUM ISD	001909	12	09	09 - 12	S	 	 	07	REGION 07: KILGORE
001909002	 	 	 	 	 	 	 	SLOCUM DAEP INSTRUCTIONAL	 	N	N	N	Y	N	N	Y	N	N	N	N	.	60	.	X	.	.	17	0	X	.	.	30	0	X	.	.	.	.	X	.	.	.	ANDERSON	001	4	100	4	1	0	0	1	100	0	0	0	0	X	 	.	SLOCUM ISD	001909	10	10	10 - 10	S	 	 	07	REGION 07: KILGORE
001909101	0	0	0	0	0	0	0	SLOCUM PK - 8	 	N	N	N	N	N	N	N	N	N	N	N	78	60	474	Y	369	34	32	600	Y	202	39	28	1000	Y	387	28	12	.	Y	.	.	28	ANDERSON	001	37	13.6	273	303	0	0	156	51.5	3	1	39	12.9	M	 	.	SLOCUM ISD	001909	08	PK	PK - 08	E	 	 	07	REGION 07: KILGORE
002901001	0	1	1	0	0	0	0	ANDREWS H S	 	N	N	N	N	N	N	N	N	N	N	N	77	60	1768	Y	1356	29	17	1000	Y	286	43	30	1600	Y	694	85	60	24.9	Y	22.1	23.2	14.3	ANDREWS	002	164	15.1	1085	995	.	.	337	33.9	57	5.7	63	6.3	M	 	.	ANDREWS ISD	002901	12	09	09 - 12	S	 	 	18	REGION 18: MIDLAND
002901002	 	 	 	 	 	 	 	ANDREWS EDUCATION CENTER	AEC OF CHOICE - DRS	Y	Y	N	N	N	N	N	N	N	N	N	58	35	43	Y	25	.	8	0	Z	.	29	13	400	Y	117	100	33	71.4	Y	.	.	8.3	ANDREWS	002	83	88.3	94	34	.	.	13	38.2	2	5.9	0	0	A	 	.	ANDREWS ISD	002901	12	09	09 - 12	S	 	 	18	REGION 18: MIDLAND
002901041	0	0	0	0	0	0	0	ANDREWS MIDDLE	 	N	N	N	N	N	N	N	N	N	N	N	69	60	2643	Y	1822	36	30	1200	Y	426	35	26	2000	Y	692	35	13	.	Y	.	.	35.3	ANDREWS	002	107	11	977	923	.	.	385	41.7	91	9.9	87	9.4	M	 	.	ANDREWS ISD	002901	08	06	06 - 08	M	 	 	18	REGION 18: MIDLAND
002901101	0	1	0	1	1	 	 	DEVONIAN EL	 	N	N	N	N	N	N	N	N	N	Y	N	71	60	560	Y	397	75	32	600	Y	449	42	28	800	Y	336	32	12	.	Y	.	.	32	ANDREWS	002	80	11.6	691	609	.	.	265	43.5	89	14.6	41	6.7	M	 	.	ANDREWS ISD	002901	03	02	02 - 03	E	 	 	18	REGION 18: MIDLAND
002901104	0	0	0	0	0	0	 	UNDERWOOD EL	 	N	N	N	N	N	N	N	N	N	N	N	61	60	1854	Y	1138	37	32	1200	Y	445	30	28	1600	Y	481	33	12	.	Y	.	.	32.7	ANDREWS	002	69	10.8	641	652	.	.	292	44.8	72	11	57	8.7	M	 	.	ANDREWS ISD	002901	05	04	04 - 05	E	 	 	18	REGION 18: MIDLAND
002901105	 	 	 	 	 	 	 	CLEARFORK EL	 	N	N	N	N	N	N	N	Y	N	N	N	.	.	.	P	.	.	.	0	P	.	.	.	0	P	.	.	.	.	P	.	.	.	ANDREWS	002	54	15.2	356	741	.	.	382	51.6	136	18.4	31	4.2	M	 	.	ANDREWS ISD	002901	01	EE	EE - 01	E	002901101	DEVONIAN EL	18	REGION 18: MIDLAND
003801001	0	0	0	0	0	0	0	PINEYWOODS COMMUNITY ACADEMY H S	 	N	N	Y	N	N	N	N	N	N	N	N	75	60	355	Y	268	34	17	400	Y	137	35	30	1200	Y	425	89	60	25	Y	25	23.4	15.4	ANGELINA	003	21	6.1	344	227	225	99.1	89	39.2	4	1.8	18	7.9	M	 	.	PINEYWOODS COMMUNITY ACADEMY	003801	12	09	09 - 12	S	 	 	07	REGION 07: KILGORE
003801042	0	0	0	0	0	0	0	DR TERRY ROBBINS MIDDLE	 	N	N	Y	N	N	N	Y	N	N	N	N	79	60	690	Y	543	32	30	1000	Y	322	35	26	1000	Y	350	33	13	.	Y	.	.	33.3	ANGELINA	003	.	.	.	246	0	0	104	42.3	10	4.1	19	7.7	M	 	.	PINEYWOODS COMMUNITY ACADEMY	003801	08	06	06 - 08	M	 	 	07	REGION 07: KILGORE
003801103	0	0	0	0	0	1	 	SARAH STRINDEN EL	 	N	N	Y	N	N	N	N	N	N	N	N	76	60	679	Y	513	37	32	1000	Y	367	41	28	2000	Y	815	35	12	.	Y	.	.	34.5	ANGELINA	003	58	10.6	547	564	.	.	277	49.1	44	7.8	32	5.7	M	 	.	PINEYWOODS COMMUNITY ACADEMY	003801	05	PK	PK - 05	E	 	 	07	REGION 07: KILGORE
003902001	1	1	1	1	1	1	0	HUDSON H S	 	N	N	N	N	N	N	N	N	N	N	N	85	60	1105	Y	938	30	17	1000	Y	304	50	30	1600	Y	799	85	60	24.7	Y	23.3	22.1	15	ANGELINA	003	85	10.1	842	802	.	.	375	46.8	6	0.7	65	8.1	M	 	.	HUDSON ISD	003902	12	09	09 - 12	S	 	 	07	REGION 07: KILGORE
003902004	 	 	 	 	 	 	 	STUBBLEFIELD LRN CTR	AEC OF CHOICE - DRS	Y	Y	N	N	N	N	N	N	N	N	N	63	35	16	Y	10	.	8	0	Z	.	37	13	400	Y	146	100	33	71.4	Y	.	.	8.3	ANGELINA	003	42	97.7	43	17	.	.	10	58.8	0	0	3	17.6	A	 	.	HUDSON ISD	003902	12	11	11 - 12	S	 	 	07	REGION 07: KILGORE
003902041	1	1	1	1	1	0	1	HUDSON MIDDLE	 	N	N	N	N	N	N	N	N	N	N	N	87	60	1836	Y	1597	42	30	1200	Y	498	45	26	2400	Y	1077	45	13	.	Y	.	.	45.3	ANGELINA	003	64	9.7	663	646	.	.	318	49.2	43	6.7	58	9	M	 	.	HUDSON ISD	003902	08	06	06 - 08	M	 	 	07	REGION 07: KILGORE
003902101	 	 	 	 	 	 	 	W F PEAVY PRI	 	N	N	N	N	N	N	N	Y	N	N	N	.	.	.	P	.	.	.	0	P	.	.	.	0	P	.	.	.	.	P	.	.	.	ANGELINA	003	67	14.6	458	726	.	.	445	61.3	75	10.3	42	5.8	M	 	.	HUDSON ISD	003902	02	EE	EE - 02	E	003902102	W H BONNER EL	07	REGION 07: KILGORE
003902102	0	1	1	0	1	0	 	W H BONNER EL	 	N	N	N	N	N	N	N	N	N	Y	N	84	60	1672	Y	1397	42	32	1200	Y	507	43	28	2000	Y	869	41	12	.	Y	.	.	40.8	ANGELINA	003	102	14.3	714	651	.	.	349	53.6	73	11.2	44	6.8	M	 	.	HUDSON ISD	003902	05	03	03 - 05	E	 	 	07	REGION 07: KILGORE
003903001	0	1	1	0	0	1	0	LUFKIN H S	 	N	N	N	N	N	N	N	N	N	N	N	74	60	3070	Y	2284	28	17	1400	Y	388	45	30	2400	Y	1076	80	60	24	Y	18.2	22.8	14.8	ANGELINA	003	367	15.7	2341	2183	30	1.4	1466	67.2	132	6	265	12.1	M	 	.	LUFKIN ISD	003903	12	09	09 - 12	S	 	 	07	REGION 07: KILGORE
003903004	 	 	 	 	 	 	 	STUBBLEFIELD LRN CTR	AEC OF CHOICE - DRS	Y	Y	N	N	N	N	N	N	N	N	N	48	35	52	Y	25	.	8	0	Z	.	20	13	600	Y	117	64	33	54.8	Y	.	.	2	ANGELINA	003	96	93.2	103	45	.	.	32	71.1	3	6.7	6	13.3	A	 	.	LUFKIN ISD	003903	12	09	09 - 12	S	 	 	07	REGION 07: KILGORE
003903044	0	0	0	0	0	0	0	LUFKIN MIDDLE	 	N	N	N	N	N	N	N	N	N	N	N	70	60	4811	Y	3352	38	30	1600	Y	612	34	26	3000	Y	1033	39	13	.	Y	.	.	39	ANGELINA	003	180	10	1795	1695	.	.	1277	75.3	283	16.7	219	12.9	M	 	.	LUFKIN ISD	003903	08	06	06 - 08	M	 	 	07	REGION 07: KILGORE
003903120	0	1	1	0	1	1	 	ANDERSON EL	 	N	N	N	N	N	N	N	N	N	Y	N	73	60	733	Y	532	43	32	1200	Y	517	40	28	2400	Y	955	41	12	.	Y	.	.	41.3	ANGELINA	003	70	20.2	346	312	.	.	251	80.4	54	17.3	54	17.3	M	 	.	LUFKIN ISD	003903	05	03	03 - 05	E	 	 	07	REGION 07: KILGORE
003903121	0	1	1	0	1	1	 	BRANDON EL	 	N	N	N	N	N	N	N	N	N	Y	N	73	60	1151	Y	837	41	32	1200	Y	497	39	28	2200	Y	861	49	12	.	Y	.	.	49	ANGELINA	003	87	17.1	509	470	.	.	314	66.8	20	4.3	41	8.7	M	 	.	LUFKIN ISD	003903	05	03	03 - 05	E	 	 	07	REGION 07: KILGORE
003903122	0	0	0	0	0	1	 	BROOKHOLLOW EL	 	N	N	N	N	N	N	N	N	N	Y	N	65	60	776	Y	502	41	32	1200	Y	489	35	28	2400	Y	839	27	12	.	Y	.	.	27.3	ANGELINA	003	76	21.8	348	316	.	.	264	83.5	32	10.1	49	15.5	M	 	.	LUFKIN ISD	003903	05	03	03 - 05	E	 	 	07	REGION 07: KILGORE
003903123	0	0	0	1	0	0	 	COSTON EL	 	N	N	N	N	N	N	N	N	N	Y	N	67	60	728	Y	486	52	32	1200	Y	619	38	28	2000	Y	760	30	12	.	Y	.	.	30	ANGELINA	003	81	21.8	371	293	.	.	278	94.9	119	40.6	25	8.5	M	 	.	LUFKIN ISD	003903	05	03	03 - 05	E	 	 	07	REGION 07: KILGORE
003903124	 	 	 	 	 	 	 	DUNBAR PRI	 	N	N	N	N	N	N	N	Y	N	N	N	.	.	.	P	.	.	.	0	P	.	.	.	0	P	.	.	.	.	P	.	.	.	ANGELINA	003	80	22.2	360	360	.	.	237	65.8	32	8.9	15	4.2	M	 	.	LUFKIN ISD	003903	02	KG	KG - 02	E	003903121	BRANDON EL	07	REGION 07: KILGORE
003903125	 	 	 	 	 	 	 	GARRETT PRI	 	N	N	N	N	Y	N	N	Y	Y	N	N	.	.	.	P	.	.	.	0	P	.	.	.	0	P	.	.	.	.	P	.	.	.	ANGELINA	003	.	.	.	400	.	.	398	99.5	120	30	7	1.8	M	 	.	LUFKIN ISD	003903	PK	PK	PK - PK	E	003903000	LUFKIN ISD	07	REGION 07: KILGORE
003903126	 	 	 	 	 	 	 	HACKNEY PRI	 	N	N	N	N	Y	N	N	Y	Y	N	N	.	.	.	P	.	.	.	0	P	.	.	.	0	P	.	.	.	.	P	.	.	.	ANGELINA	003	.	.	.	238	.	.	231	97.1	68	28.6	3	1.3	M	 	.	LUFKIN ISD	003903	PK	PK	PK - PK	E	003903000	LUFKIN ISD	07	REGION 07: KILGORE
003903127	 	 	 	 	 	 	 	HERTY PRI	 	N	N	N	N	N	N	N	Y	N	N	N	.	.	.	P	.	.	.	0	P	.	.	.	0	P	.	.	.	.	P	.	.	.	ANGELINA	003	50	20.7	242	287	.	.	270	94.1	54	18.8	68	23.7	M	 	.	LUFKIN ISD	003903	02	EE	EE - 02	E	003903123	COSTON EL	07	REGION 07: KILGORE
003903128	 	 	 	 	 	 	 	KURTH PRI	 	N	N	N	N	N	N	N	Y	N	N	N	.	.	.	P	.	.	.	0	P	.	.	.	0	P	.	.	.	.	P	.	.	.	ANGELINA	003	63	25.9	243	282	.	.	250	88.7	36	12.8	19	6.7	M	 	.	LUFKIN ISD	003903	02	PK	PK - 02	E	003903120	ANDERSON EL	07	REGION 07: KILGORE
003903129	0	0	0	0	0	1	 	SLACK EL	 	N	N	N	N	N	N	N	N	N	Y	N	71	60	1129	Y	798	37	32	1200	Y	445	37	28	2000	Y	740	36	12	.	Y	.	.	35.8	ANGELINA	003	41	8.8	464	521	.	.	416	79.8	298	57.2	34	6.5	M	 	.	LUFKIN ISD	003903	05	02	02 - 05	E	 	 	07	REGION 07: KILGORE
003903130	 	 	 	 	 	 	 	TROUT PRI	 	N	N	N	N	N	N	N	Y	N	N	N	.	.	.	P	.	.	.	0	P	.	.	.	0	P	.	.	.	.	P	.	.	.	ANGELINA	003	64	24.6	260	339	.	.	296	87.3	40	11.8	20	5.9	M	 	.	LUFKIN ISD	003903	02	EE	EE - 02	E	003903122	BROOKHOLLOW EL	07	REGION 07: KILGORE
003903131	 	 	 	 	 	 	 	BURLEY PRI	 	N	N	N	N	N	N	N	Y	N	N	N	.	.	.	P	.	.	.	0	P	.	.	.	0	P	.	.	.	.	P	.	.	.	ANGELINA	003	33	8.6	383	421	.	.	376	89.3	272	64.6	16	3.8	M	 	.	LUFKIN ISD	003903	02	KG	KG - 02	E	003903129	SLACK EL	07	REGION 07: KILGORE
003903141	 	 	 	 	 	 	 	SPECIAL SERVICES	 	N	N	N	N	N	N	N	N	N	N	N	.	60	.	Z	.	.	32	0	Z	.	.	28	0	Z	.	.	.	.	Z	.	.	.	ANGELINA	003	3	100	3	5	.	.	0	0	0	0	4	80	Z	 	.	LUFKIN ISD	003903	08	EE	EE - 08	E	 	 	07	REGION 07: KILGORE
003903201	 	 	 	 	 	 	 	JUVENILE DETENT CTR	 	N	N	N	N	N	N	N	N	N	N	N	.	60	5	Z	1	.	17	0	Z	.	.	30	0	Z	.	.	.	.	Z	.	.	.	ANGELINA	003	102	99	103	9	.	.	9	100	0	0	0	0	Z	 	.	LUFKIN ISD	003903	10	08	08 - 10	S	 	 	07	REGION 07: KILGORE
003904001	0	0	0	0	0	0	0	HUNTINGTON H S	 	N	N	N	N	N	N	N	N	N	N	N	77	60	847	Y	653	28	17	400	Y	111	43	30	800	Y	345	79	60	25	Y	19.5	22.5	12.2	ANGELINA	003	87	14.6	597	552	.	.	242	43.8	2	0.4	42	7.6	M	 	.	HUNTINGTON ISD	003904	12	09	09 - 12	S	 	 	07	REGION 07: KILGORE
003904005	 	 	 	 	 	 	 	PRIDE ALTER SCH	AEC OF CHOICE - DRS	Y	Y	N	N	N	N	N	N	N	N	N	44	35	39	Y	17	.	8	0	Z	.	28	13	800	Y	222	76	33	61.5	Y	.	.	2	ANGELINA	003	46	74.2	62	26	.	.	18	69.2	0	0	3	11.5	A	 	.	HUNTINGTON ISD	003904	12	09	09 - 12	S	 	 	07	REGION 07: KILGORE
003904041	0	0	0	0	0	0	0	HUNTINGTON MIDDLE	 	N	N	N	N	N	N	N	N	N	N	N	72	60	1036	Y	748	35	30	800	Y	278	37	26	2000	Y	749	37	13	.	Y	.	.	37	ANGELINA	003	50	12.7	394	359	.	.	178	49.6	1	0.3	41	11.4	M	 	.	HUNTINGTON ISD	003904	08	06	06 - 08	M	 	 	07	REGION 07: KILGORE
003904101	0	0	0	 	0	 	 	HUNTINGTON EL	 	N	N	N	N	N	N	N	N	N	N	N	70	60	242	Y	170	.	32	0	Z	.	41	28	400	Y	165	22	12	.	Y	.	.	21.5	ANGELINA	003	68	16.7	408	520	.	.	326	62.7	9	1.7	31	6	M	 	.	HUNTINGTON ISD	003904	03	EE	EE - 03	E	 	 	07	REGION 07: KILGORE
003904102	0	0	0	1	0	1	 	HUNTINGTON INT	 	N	N	N	N	N	N	N	N	N	N	N	79	60	766	Y	608	49	32	600	Y	295	43	28	800	Y	345	41	12	.	Y	.	.	41	ANGELINA	003	26	10.3	252	266	.	.	153	57.5	3	1.1	29	10.9	M	 	.	HUNTINGTON ISD	003904	05	04	04 - 05	E	 	 	07	REGION 07: KILGORE
003905001	0	1	1	0	0	0	0	DIBOLL H S	 	N	N	N	N	N	N	N	N	N	N	N	72	60	845	Y	606	28	17	800	Y	221	43	30	1600	Y	695	73	60	25	Y	16.8	19.2	11.5	ANGELINA	003	47	8.9	531	523	.	.	392	75	31	5.9	65	12.4	M	 	.	DIBOLL ISD	003905	12	09	09 - 12	S	 	 	07	REGION 07: KILGORE
003905004	 	 	 	 	 	 	 	STUBBLEFIELD LRN CTR	AEC OF CHOICE - DRS	Y	Y	N	N	N	N	N	N	N	N	N	.	35	4	Z	1	.	8	0	Z	.	.	13	0	Z	.	94	45	93.8	Z	.	.	.	ANGELINA	003	10	100	10	6	.	.	6	100	0	0	3	50	Z	 	.	DIBOLL ISD	003905	12	11	11 - 12	S	 	 	07	REGION 07: KILGORE
003905041	0	1	0	0	0	0	1	DIBOLL J H	 	N	N	N	N	N	N	N	N	N	N	N	69	60	848	Y	584	40	30	1200	Y	485	36	26	2400	Y	864	38	13	.	Y	.	.	38	ANGELINA	003	25	9.1	275	251	.	.	176	70.1	35	13.9	36	14.3	M	 	.	DIBOLL ISD	003905	08	07	07 - 08	M	 	 	07	REGION 07: KILGORE
003905101	0	0	0	1	0	 	 	H G TEMPLE EL	 	N	N	N	N	N	N	N	N	N	Y	N	64	60	261	Y	168	50	32	600	Y	300	41	28	800	Y	326	30	12	.	Y	.	.	30	ANGELINA	003	48	10.8	443	515	.	.	354	68.7	135	26.2	46	8.9	M	 	.	DIBOLL ISD	003905	03	KG	KG - 03	E	 	 	07	REGION 07: KILGORE
